cik,sic,company_name,industry
1750,3720.0,AAR CORP,AIRCRAFT & PARTS
1800,2834.0,ABBOTT LABORATORIES,PHARMACEUTICAL PREPARATIONS
1961,7372.0,WORLDS INC,SERVICES-PREPACKAGED SOFTWARE
2034,5122.0,ACETO CORP,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES"
2098,3420.0,ACME UNITED CORP,"CUTLERY, HANDTOOLS & GENERAL HARDWARE"
2178,5172.0,"ADAMS RESOURCES & ENERGY, INC.",WHOLESALE-PETROLEUM & PETROLEUM PRODUCTS (NO BULK STATIONS)
2186,3663.0,BK TECHNOLOGIES,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT
2488,3674.0,ADVANCED MICRO DEVICES INC,SEMICONDUCTORS & RELATED DEVICES
2491,7372.0,"BALLY TECHNOLOGIES, INC.",SERVICES-PREPACKAGED SOFTWARE
2809,1040.0,AGNICO EAGLE MINES LTD,GOLD AND SILVER ORES
2969,2810.0,"AIR PRODUCTS & CHEMICALS, INC.",INDUSTRIAL INORGANIC CHEMICALS
3116,2834.0,AKORN INC,PHARMACEUTICAL PREPARATIONS
3146,4924.0,ALABAMA GAS CORP,NATURAL GAS DISTRIBUTION
3197,3564.0,CECO ENVIRONMENTAL CORP,INDUSTRIAL & COMMERCIAL FANS & BLOWERS & AIR PURIFING EQUIP
3453,4400.0,"MATSON, INC.",WATER TRANSPORTATION
3499,6798.0,ALEXANDERS INC,REAL ESTATE INVESTMENT TRUSTS
3545,100.0,"ALICO, INC.",AGRICULTURAL PRODUCTION-CROPS
3570,4924.0,CHENIERE ENERGY INC,NATURAL GAS DISTRIBUTION
3673,4911.0,"ALLEGHENY ENERGY, INC",ELECTRIC SERVICES
3952,3480.0,ALLIED DEFENSE GROUP INC,"ORDNANCE & ACCESSORIES, (NO VEHICLES/GUIDED MISSILES)"
3982,1389.0,ALLIS CHALMERS ENERGY INC.,"OIL & GAS FIELD SERVICES, NEC"
4127,3674.0,SKYWORKS SOLUTIONS INC,SEMICONDUCTORS & RELATED DEVICES
4187,5090.0,INDUSTRIAL SERVICES OF AMERICA INC,WHOLESALE-MISC DURABLE GOODS
4281,3350.0,ARCONIC INC.,ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS
4447,2911.0,HESS CORP,PETROLEUM REFINING
4457,7510.0,U-HAUL HOLDING CO /NV/,SERVICES-AUTO RENTAL & LEASING (NO DRIVERS)
4515,4512.0,AMERICAN AIRLINES INC,"AIR TRANSPORTATION, SCHEDULED"
4611,3089.0,AMERICAN BILTRITE INC,"PLASTICS PRODUCTS, NEC"
4828,2060.0,AMERICAN CRYSTAL SUGAR CO /MN/,SUGAR & CONFECTIONERY PRODUCTS
4904,4911.0,AMERICAN ELECTRIC POWER CO INC,ELECTRIC SERVICES
4962,6199.0,AMERICAN EXPRESS CO,FINANCE SERVICES
4969,6153.0,AMERICAN EXPRESS CREDIT CORP,SHORT-TERM BUSINESS CREDIT INSTITUTIONS
4977,6321.0,AFLAC INC,ACCIDENT & HEALTH INSURANCE
5117,7389.0,EMTEC INC/NJ,"SERVICES-BUSINESS SERVICES, NEC"
5133,2771.0,AMERICAN GREETINGS CORP,GREETING CARDS
5187,2834.0,WYETH,PHARMACEUTICAL PREPARATIONS
5272,6331.0,"AMERICAN INTERNATIONAL GROUP, INC.","FIRE, MARINE & CASUALTY INSURANCE"
5513,6321.0,UNUM GROUP,ACCIDENT & HEALTH INSURANCE
5656,1040.0,AMERICAN INTERNATIONAL VENTURES INC /DE/,GOLD AND SILVER ORES
5768,3844.0,"AMERICAN SCIENCE & ENGINEERING, INC.",X-RAY APPARATUS & TUBES & RELATED IRRADIATION APPARATUS
5981,2870.0,AMERICAN VANGUARD CORP,AGRICULTURAL CHEMICALS
6176,3561.0,AMPCO PITTSBURGH CORP,PUMPS & PUMPING EQUIPMENT
6201,4512.0,AMERICAN AIRLINES GROUP INC.,"AIR TRANSPORTATION, SCHEDULED"
6207,6552.0,AMREP CORP.,LAND SUBDIVIDERS & DEVELOPERS (NO CEMETERIES)
6281,3674.0,ANALOG DEVICES INC,SEMICONDUCTORS & RELATED DEVICES
6284,3825.0,ANALOGIC CORP,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS
6292,7371.0,ANALYSTS INTERNATIONAL CORP,SERVICES-COMPUTER PROGRAMMING SERVICES
6314,3663.0,ANAREN INC,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT
6494,3663.0,ANDREA ELECTRONICS CORP,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT
6732,3560.0,"NAC GLOBAL TECHNOLOGIES, INC.",GENERAL INDUSTRIAL MACHINERY & EQUIPMENT
6769,1311.0,APACHE CORP,CRUDE PETROLEUM & NATURAL GAS
6845,3231.0,"APOGEE ENTERPRISES, INC.","GLASS PRODUCTS, MADE OF PURCHASED GLASS"
6879,4911.0,APPALACHIAN POWER CO,ELECTRIC SERVICES
6885,5651.0,STAGE STORES INC,RETAIL-FAMILY CLOTHING STORES
6951,3674.0,APPLIED MATERIALS INC /DE,SEMICONDUCTORS & RELATED DEVICES
6955,3590.0,ENERPAC TOOL GROUP CORP,MISC INDUSTRIAL & COMMERCIAL MACHINERY & EQUIPMENT
7032,5812.0,ARAMARK CORP,RETAIL-EATING PLACES
7039,2911.0,TRECORA RESOURCES,PETROLEUM REFINING
7084,2070.0,ARCHER-DANIELS-MIDLAND CO,FATS & OILS
7286,4931.0,ARIZONA PUBLIC SERVICE CO,ELECTRIC & OTHER SERVICES COMBINED
7332,1311.0,SOUTHWESTERN ENERGY CO,CRUDE PETROLEUM & NATURAL GAS
7431,3089.0,ARMSTRONG WORLD INDUSTRIES INC,"PLASTICS PRODUCTS, NEC"
7536,5065.0,"ARROW ELECTRONICS, INC","WHOLESALE-ELECTRONIC PARTS & EQUIPMENT, NEC"
7623,3523.0,ARTS WAY MANUFACTURING CO INC,FARM MACHINERY & EQUIPMENT
7789,6022.0,ASSOCIATED BANC-CORP,STATE COMMERCIAL BANKS
7951,6799.0,ROBERTSON GLOBAL HEALTH SOLUTIONS CORP,"INVESTORS, NEC"
8063,3728.0,ASTRONICS CORP,"AIRCRAFT PARTS & AUXILIARY EQUIPMENT, NEC"
8146,3577.0,"ASTRONOVA, INC.","COMPUTER PERIPHERAL EQUIPMENT, NEC"
8177,6311.0,ATLANTIC AMERICAN CORP,LIFE INSURANCE
8328,1400.0,"APPLIED MINERALS, INC.",MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS)
8411,1381.0,ATWOOD OCEANICS INC,DRILLING OIL & GAS WELLS
8497,6331.0,ASSURANCEAMERICA CORP,"FIRE, MARINE & CASUALTY INSURANCE"
8504,3721.0,AGEAGLE AERIAL SYSTEMS INC.,AIRCRAFT
8670,7374.0,AUTOMATIC DATA PROCESSING INC,SERVICES-COMPUTER PROCESSING & DATA PREPARATION
8818,2670.0,AVERY DENNISON CORP,CONVERTED PAPER & PAPERBOARD PRODS (NO CONTANERS/BOXES)
8855,2540.0,AMERICAN LOCKER GROUP INC,"PARTITIONS, SHELVG, LOCKERS, & OFFICE & STORE FIXTURES"
8858,5065.0,AVNET INC,"WHOLESALE-ELECTRONIC PARTS & EQUIPMENT, NEC"
8868,2844.0,AVON PRODUCTS INC,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS"
8947,3470.0,AZZ INC,"COATING, ENGRAVING & ALLIED SERVICES"
9092,3824.0,BADGER METER INC,TOTALIZING FLUID METERS & COUNTING DEVICES
9235,6282.0,BKF CAPITAL GROUP INC,INVESTMENT ADVICE
9263,8741.0,MICHAEL BAKER CORP,SERVICES-MANAGEMENT SERVICES
9326,2800.0,BALCHEM CORP,CHEMICALS & ALLIED PRODUCTS
9342,3621.0,BALDOR ELECTRIC CO,MOTORS & GENERATORS
9346,6331.0,PROTECTIVE INSURANCE CORP,"FIRE, MARINE & CASUALTY INSURANCE"
9389,3411.0,BALL CORP,METAL CANS
9631,6022.0,BANK OF NOVA SCOTIA,STATE COMMERCIAL BANKS
9892,3841.0,BARD C R INC /NJ/,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS
9984,3490.0,BARNES GROUP INC,MISCELLANEOUS FABRICATED METAL PRODUCTS
10048,1311.0,BARNWELL INDUSTRIES INC,CRUDE PETROLEUM & NATURAL GAS
10254,1311.0,EARTHSTONE ENERGY INC,CRUDE PETROLEUM & NATURAL GAS
10329,2511.0,BASSETT FURNITURE INDUSTRIES INC,"WOOD HOUSEHOLD FURNITURE, (NO UPHOLSTERED)"
10456,3841.0,BAXTER INTERNATIONAL INC,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS
10795,3841.0,BECTON DICKINSON & CO,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS
11199,2670.0,BEMIS CO INC,CONVERTED PAPER & PAPERBOARD PRODS (NO CONTANERS/BOXES)
11544,6331.0,BERKLEY W R CORP,"FIRE, MARINE & CASUALTY INSURANCE"
12040,5812.0,FLANIGANS ENTERPRISES INC,RETAIL-EATING PLACES
12208,3826.0,"BIO-RAD LABORATORIES, INC.",LABORATORY ANALYTICAL INSTRUMENTS
12239,6211.0,AIKIDO PHARMA INC.,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES"
12400,4911.0,BLACK HILLS POWER INC,ELECTRIC SERVICES
12659,7200.0,H&R BLOCK INC,SERVICES-PERSONAL SERVICES
12779,6500.0,BLUE RIDGE REAL ESTATE CO,REAL ESTATE
12927,3721.0,BOEING CO,AIRCRAFT
12978,5110.0,OFFICEMAX INC,WHOLESALE-PAPER & PAPER PRODUCTS
13033,7200.0,CAMELOT CORP,SERVICES-PERSONAL SERVICES
13055,7372.0,LEFT BEHIND GAMES INC.,SERVICES-PREPACKAGED SOFTWARE
13156,7900.0,"GALAXY GAMING, INC.",SERVICES-AMUSEMENT & RECREATION SERVICES
13239,2821.0,HEXION INC.,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS"
13372,4911.0,NSTAR ELECTRIC CO,ELECTRIC SERVICES
13573,7900.0,BOWL AMERICA INC,SERVICES-AMUSEMENT & RECREATION SERVICES
13610,2750.0,BOWNE & CO INC,COMMERCIAL PRINTING
14177,2013.0,BRIDGFORD FOODS CORP,SAUSAGES & OTHER PREPARED MEAT PRODUCTS
14195,3510.0,BRIGGS & STRATTON CORP,ENGINES & TURBINES
14272,2834.0,BRISTOL MYERS SQUIBB CO,PHARMACEUTICAL PREPARATIONS
14693,2080.0,BROWN FORMAN CORP,BEVERAGES
14707,3140.0,CALERES INC,"FOOTWEAR, (NO RUBBER)"
